the	det	69968
of	prep	36410
and	conj	28850
to	prep	26155
a	det	23186
in	prep	20867
that	conj	10593
is	verb	10108
was	verb	9815
he	pron	9546
for	prep	9489
it	pron	8759
with	prep	7289
as	conj	7252
his	pron	6994
be	verb	6374
on	prep	6182
at	prep	5372
by	prep	5305
i	pron	5163
this	det	5145
had	verb	5132
are	verb	4394
but	conj	4381
from	prep	4370
or	conj	4205
have	verb	3942
an	det	3738
they	pron	3620
which	det	3560
you	pron	3286
were	verb	3284
her	pron	3036
she	pron	2860
one	det	2734
would	verb	2714
their	pron	2668
we	pron	2652
him	pron	2619
been	verb	2472
has	verb	2436
when	adv	2331
who	pron	2252
will	verb	2245
if	conj	2197
no	det	2139
so	adv	1984
said	verb	1961
what	det	1908
its	pron	1858
about	prep	1794
than	conj	1790
into	prep	1788
them	pron	1787
can	verb	1771
new	adj	1635
some	det	1618
could	verb	1601
time	noun	1598
these	det	1573
two	det	1412
may	verb	1401
only	adv	1383
then	adv	1379
do	verb	1363
first	det	1361
any	det	1344
my	pron	1316
now	adv	1314
like	conj	1292
our	pron	1252
more	adv	1225
man	noun	1206
me	pron	1180
even	adv	1169
made	verb	1122
also	adv	1069
after	prep	1068
did	verb	1044
before	conj	1015
must	verb	1012
af	noun	995
such	adj	993
back	adv	966
years	noun	949
where	adv	937
your	pron	923
through	prep	910
way	noun	908
should	verb	888
because	conj	883
each	det	877
just	adv	872
those	det	850
people	noun	847
over	prep	844
too	adv	834
state	noun	807
good	adj	806
make	verb	794
world	noun	787
still	adv	782
own	adj	772
see	verb	771
men	noun	763
work	noun	762
well	adv	759
long	adj	752
here	adv	750
get	verb	749
between	prep	730
life	noun	715
being	verb	711
under	prep	707
very	adv	703
never	adv	697
day	noun	687
how	adv	686
another	det	684
know	verb	683
most	adv	681
while	conj	680
us	pron	675
might	verb	672
great	adj	665
old	adj	661
year	noun	656
come	verb	630
since	conj	628
against	prep	627
go	verb	626
came	verb	622
right	adj	613
used	verb	611
three	det	610
take	verb	610
states	noun	603
himself	pron	603
use	noun	591
house	noun	591
during	prep	585
without	prep	583
again	adv	577
american	adj	569
place	noun	565
there	adv	564
around	prep	562
home	noun	547
small	adj	542
found	verb	536
however	adv	519
thought	verb	517
went	verb	507
part	noun	499
once	adv	499
general	adj	498
high	adj	497
upon	prep	495
school	noun	493
every	det	491
say	verb	488
does	verb	485
united	verb	482
got	verb	482
left	verb	480
number	noun	472
course	noun	465
war	noun	464
out	prep	464
until	conj	461
always	adv	458
away	adv	456
fact	noun	447
water	noun	445
much	adv	441
though	conj	440
public	adj	438
put	verb	437
little	adj	434
think	verb	433
almost	adv	432
hand	noun	431
took	verb	426
far	adv	426
head	noun	424
yet	adv	419
government	noun	418
system	noun	416
set	verb	414
better	adj	414
told	verb	413
night	noun	411
end	noun	409
why	adv	401
eyes	noun	401
called	verb	401
find	verb	400
look	verb	399
going	verb	399
asked	verb	398
later	adv	397
point	noun	395
knew	verb	395
program	noun	393
city	noun	393
business	noun	393
group	noun	390
give	verb	389
toward	prep	386
young	adj	385
room	noun	384
let	verb	384
